id,draw_date,numbers,bonus,type
75a3a2bc-3c19-42f1-8d1c-501d72f2563a,2025-03-21T14:00:00,"[67, 86, 90, 30, 47]",,RESULTAT_2
0543a329-f8f6-48df-837b-37ec671423bc,2025-03-21T18:00:00,"[1, 41, 79, 44, 10]",,RESULTAT_3
33fc7a7f-b233-4dfe-adf7-64ae9517ce18,2025-03-21T21:00:00,"[1, 64, 70, 55, 86]",,DIGITAL_2
cbf9921c-283a-4e7e-811b-ab1af34572bd,2025-03-20T00:00:00,"[30, 73, 31, 51, 90]",,DIGITAL_1
a8b48d8b-022d-4260-af2d-612184e996fc,2025-03-20T11:00:00,"[30, 79, 90, 89, 7]",,RESULTAT_1
4ee8227d-8514-4811-8100-d9c3a5823d2d,2025-03-20T14:00:00,"[71, 15, 6, 82, 63]",,RESULTAT_2
84b10172-ecb3-4361-ac58-ef88ba8e08dc,2025-03-20T18:00:00,"[9, 40, 44, 14, 1]",,RESULTAT_3
b8288035-a5ee-49d9-9e0d-cf8d50be634c,2025-03-20T21:00:00,"[43, 3, 80, 5, 37]",,DIGITAL_2
860cc8e3-6ac1-429b-b5f3-adeabae5a97f,2025-03-19T00:00:00,"[68, 90, 48, 55, 38]",,DIGITAL_1
d1fc5be0-739f-463d-b5e2-f26d30747a41,2025-03-19T11:00:00,"[70, 62, 48, 8, 21]",,RESULTAT_1
95f1c617-1482-4a32-b4a1-b1aff9420592,2025-03-19T14:00:00,"[37, 41, 28, 1, 23]",,RESULTAT_2
c7affc36-b34d-4d5f-9308-8d6c5417ed6f,2025-03-19T18:00:00,"[59, 2, 78, 15, 89]",,RESULTAT_3
d70a2108-9459-4d1f-a93f-a90d6fa5ff43,2025-03-19T21:00:00,"[90, 72, 48, 46, 50]",,DIGITAL_2
5bce79c4-87a8-4373-b602-b67a898161d6,2025-03-18T00:00:00,"[86, 36, 81, 26, 57]",,DIGITAL_1
a1fc1fac-1679-43ab-a0e5-d965c5b3c73c,2025-03-18T11:00:00,"[67, 65, 89, 80, 56]",,RESULTAT_1
81011d96-c9ff-443d-a87b-cb0c051bc2f9,2025-03-18T14:00:00,"[44, 63, 45, 84, 21]",,RESULTAT_2
9043a8a9-6acd-4b89-801c-0ac666e64607,2025-03-18T18:00:00,"[28, 75, 84, 1, 73]",,RESULTAT_3
22764926-cb70-4163-8043-5fc4798fb4ef,2025-03-18T21:00:00,"[72, 41, 4, 66, 28]",,DIGITAL_2
e63fefcc-0893-43f8-852e-0605bf9ddd8d,2025-03-17T00:00:00,"[71, 39, 83, 84, 23]",,DIGITAL_1
e1913ccf-72e8-45f4-afbb-8853ff8d500b,2025-03-17T11:00:00,"[37, 81, 30, 63, 32]",,RESULTAT_1
df2ec9fb-0ed0-433a-8a7d-ab2f35c6bcf8,2025-03-17T14:00:00,"[50, 14, 64, 18, 38]",,RESULTAT_2
c586ac9b-5440-4069-939e-5bc9d6bec816,2025-03-17T18:00:00,"[65, 28, 61, 88, 30]",,RESULTAT_3
1dbc62b9-5635-445e-969c-ffa09e3cc636,2025-03-17T21:00:00,"[43, 27, 76, 54, 63]",,DIGITAL_2
ff2af662-e7b5-4ccd-9be5-5c516854eacf,2025-03-16T00:00:00,"[47, 53, 78, 49, 15]",,DIGITAL_1
42ba1cc2-7d0f-4695-9bed-d8838b3f4bd9,2025-03-16T11:00:00,"[12, 63, 90, 60, 9]",,RESULTAT_1
d04e4c67-660c-4cbb-b19a-f47b39c47a73,2025-03-16T14:00:00,"[87, 2, 17, 34, 58]",,RESULTAT_2
5e874226-371c-444c-816d-712cb0bf092f,2025-03-16T18:00:00,"[75, 34, 33, 19, 79]",,RESULTAT_3
6d1c9a1b-5627-4142-9e28-dc81804d45fa,2025-03-16T21:00:00,"[45, 4, 85, 23, 73]",,DIGITAL_2
a4da6af7-1b32-4017-89dd-d7959e7acf7e,2025-03-15T00:00:00,"[59, 71, 29, 42, 54]",,DIGITAL_1
fb3055a5-6b1f-4b67-9723-dcae1adfafd5,2025-03-15T11:00:00,"[87, 49, 44, 7, 72]",,RESULTAT_1
0ae4d04a-d52a-46eb-a3e4-c42ad90eb235,2025-03-15T14:00:00,"[3, 28, 26, 90, 2]",,RESULTAT_2
ee979655-4806-4267-9df6-414df646a76f,2025-03-15T18:00:00,"[11, 81, 16, 66, 21]",,RESULTAT_3
08b0f46c-c680-46ef-9317-adaec3b85f8c,2025-03-15T21:00:00,"[49, 32, 46, 70, 59]",,DIGITAL_2
08d74e57-00b4-435e-97db-bd33dcc2ad27,2025-03-14T00:00:00,"[76, 86, 62, 44, 28]",,DIGITAL_1
